,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
146,HUNK,Hunku,,Khumbu Himal (NNE of Peak 41),6119,Khumbu,Khumbu-Rolwaling-Makalu,False,True,False,"Opened in 2002, delisted in 2013?",Nepal only,Climbed,2012,Autumn,HUNK12302,UK,"Nick Bullock, Andy Houseman"
148,JABR,Jabou Ri,,Rolwaling Himal (S of Tarkago),6166,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Climbed,2015,Autumn,JABR15301,USA,"Ryan Waters, Eric Larsen"
149,JAGD,Jagdula,,Jagdula Lekh (S of Kande Hiunchuli),5761,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,2013,Spring,JAGD13101,France,Francois Damilano
151,JANK,Janak Chuli,"Janak, Outlier",Janak Himal (WNW of Jongsang on Tibetan border),7041,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal & China,Climbed,2006,Spring,JANK06101,Slovenia,"Andrej Stremfelj, Rok Zalokar"
152,JANU,Jannu,Khumbhakarna,Kangchenjunga Himal (W of Kangchenjunga),7711,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal only,Climbed,1962,Spring,JANU62101,"France, Nepal","Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa"
157,JOBO,Jobo Rinjang,Jobo Ribjang,Rolwaling Himal (SW of Nangpa La near Tibetan border),6778,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2009,Spring,JOBO09101,USA,"Joe Puryear, David Gottlieb"
166,KAG1,Kagmara I,,Kagmara Lekh (S of Kanjiroba Himal),5978,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1962,Spring,KAG162101,"UK, Nepal","Dorothea Gravina, Denise Evans, Nancy Smith, Pat Wood, Ang Temba Sherpa, Mingma Tsering Sherpa, Pemba Norbu Sherpa"
167,KAGA,Kanta Gaton,Kangfu Gaton,Kanjiroba Himal (SE of Phoksumdo Tal),5910,Kanjiroba,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal only,Climbed,2009,Summer,KAGA09201,"France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa"
176,KANG,Kangchenjunga,,Kangchenjunga Himal,8586,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1955,Spring,KANG55101,UK,"George Band, Joe Brown"
178,KANS,Kangchenjunga South,,Kangchenjunga Himal,8476,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1978,Spring,KANS78101,Poland,"Eugeniusz Chrobak, Wojciech Wroz"
187,KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo",Khumbu Himal (NE of Gokyo Lake),6043,Khumbu,Khumbu-Rolwaling-Makalu,False,True,False,,Nepal only,Climbed,1953,Spring,KCHN53101,"UK, New Zealand","Edmund Hillary, Wilfred Noyce, Charles Wylie"
188,KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",Khumbu Himal (NE of Gokyo Lake),6063,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Climbed,1984,Autumn,KCHS84301,Yugoslavia,Francek Knez
192,KHAM,Khamjung,"Khumjung, Khamjungar",Damodar Himal (W of Saribung and Bhrikuti),6759,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,1982,Unknown,,Japan,Climbed?
203,KNAG,Kang Nagchugo,Khang Nagchugo,Rolwaling Himal (E of Chekigo on Tibetan border),6737,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal & China,Climbed,2008,Autumn,KNAG08301,USA,"Joseph Puryear, David Gottlieb"
206,KOJI,Kojichuwa Chuli,,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),6439,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2003,Nepal & China,Climbed,2010,Spring,KOJI10101,Japan,"Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto"
218,KYAS,Kyashar,"Peak 43, Tangnag Tseng",Khumbu Himal (S of Kantega),6770,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2003,Autumn,KYAS03301,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank"
219,KYAZ,Kyazo Ri,Kyajo Ri,Khumbu Himal (SW of Gokyo Lake),6151,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,Opened in 2002 as trekking peak,Nepal only,Climbed,2002,Autumn,KYAZ02301,"UK, France","Duncan Wilson, Vincent Marche"
220,KYR1,Kyungka Ri 1,Kyungya Ri 1,Langtang Himal (NE of Shalbachum near Tibetan border),6599,Langtang,Langtang-Jugal,True,False,False,Opened in 2003,Nepal only,Climbed,2017,Autumn,KYR117301,S Korea,"Han San-Hum, Oh Chi-Wan"
224,LANG,Langtang Lirung,Langtang,Langtang Himal,7227,Langtang,Langtang-Jugal,True,False,False,,Nepal only,Climbed,1978,Autumn,LANG78301,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa"
225,LANR,Langtang Ri,,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,Langtang,Langtang-Jugal,True,False,False,,Nepal & China,Climbed,1981,Autumn,LANR81301,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa"
228,LAS2,Lashar II,Loshar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
233,LDAK,Langdak,,Rolwaling Himal (N of Raungsiyar and Pimu),6220,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Climbed,2015,Autumn,LDAK15301,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa"
238,LHAY,Lhayul Peak,,Api Himal (SW of Api Main),6395,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
240,LHOT,Lhotse,,Khumbu Himal,8516,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal & China,Climbed,1956,Spring,LHOT56101,Switzerland,"Fritz Luchsinger, Ernst Reiss"
241,LIK1,Linkhu Chuli Shar,"Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I",Rolwaling Himal (S of Parchamo),6719,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2003,Nepal only,Climbed,2013,Autumn,LIK113301,Germany,Ines Papert
242,LIK2,Linkhu Chuli Nup,"Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II","Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2003,Nepal only,Climbed,1960,Autumn,LIK260301,"France, Nepal","Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa"
244,LMOC,Langmoche Ri,,Rolwaling Himal (N of Tesi Laptsa),6552,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2012,Autumn,LMOC12301,USA,"Roberto Villanueva, Alan Rousseau"
250,LOBE,Lobuje East,Lobuche East,Khumbu Himal (SW of Pumori),6090,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,,Nepal only,Climbed,1984,Spring,LOBE84101,"USA, Nepal","Larry Nielson, Any Gyaltsen Sherpa"
253,LSHR,Lhotse Shar,Lhotse II,Khumbu Himal (ESE of Lhotse and Lhotse Middle),8382,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal & China,Climbed,1970,Spring,LSHR70101,Austria,"Josef Mayerl, Rolf Walter"
255,LUGU,Lugula,,Damodar Himal (E of Bhrikuti Sail on Tibetan border),6899,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2014,Nepal & China,Climbed,2010,Autumn,LUGU10301,France,Renald Guillaune
258,LUNR,Lunag Ri,"Lunag I, Rongshar Ri I, Ondrej Peak",Rolwaling Himal (SW of Nangpa La on Tibetan border),6895,Rolwaling,Khumbu-Rolwaling-Makalu,False,True,False,Requires permit for Jobo Rinjang,Nepal & China,Unclimbed,0,Unknown,,,
259,LUNW,Lunag West,,Rolwaling Himal (W of Lunag I on Tibetan border),6492,Rolwaling,Khumbu-Rolwaling-Makalu,False,True,False,Requires permit for Jobo Rinjang,Nepal & China,Climbed,2013,Autumn,LUNW13301,USA,"Scott Adamson, Chris Wright"
262,MAKA,Makalu,,Makalu Himal,8485,Makalu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal & China,Climbed,1955,Spring,MAKA55101,France,"Jean Couzy, Lionel Terray"
264,MANA,Manaslu,"Kutang I, Peak 30",Manaslu Himal,8163,Manaslu/Mansiri,Manaslu-Ganesh,True,False,False,,Nepal only,Climbed,1956,Spring,MANA56101,"Japan, Nepal","Toshio Imanishi, Gyaltsen Norbu Sherpa"
276,MNSL,Mansail,Manshail,Mustang Himal (NW of Lo Manthang on Tibetan border),6235,Mukut/Mustang,Dhaulagiri-Mukut,True,False,False,Opened in 2014,Nepal only,Climbed,2014,Autumn,MNSL14301,Japan,"Yukiko Inoue, Eri Hasegawa, Mariko Nakamura, Kei Taniguchi"
280,MUKT,Mukut Himal,"Mukot Himal, Langru","Mukut Himal (N of Sita Chuchura, S of Hongde)",6087,Mukut/Mustang,Dhaulagiri-Mukut,True,False,False,Opened in 2014,Nepal only,Climbed,1967,Autumn,MUKT67301,Netherlands,"Alfons J. Driessen, Michiel van Mourik Broekman"
282,MUST,Mustang Himal,,Mustang Himal (S of Mansail on Tibetan border),6195,Mukut/Mustang,Dhaulagiri-Mukut,True,False,False,Opened in 2014,Nepal only,Climbed,2014,Autumn,MUST14301,USA,"Melissa Arnot, Ben Jones, Jon Mancuso"
293,NANG,Nangamari I,,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),6547,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,Opened in 2003,Nepal & China,Climbed,2010,Autumn,NANG10301,Australia,"Timothy Macartney-Snape, David Barton"
307,NILS,Nilgiri South,,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1978,Autumn,NILS78301,Japan,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida"
308,NORB,Norbu Kang,Norbu Khang,Kanjiroba Himal (SE of Phoksumdo Tal),6085,Kanjiroba,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal only,Climbed,2003,Summer,NORB03201,"Japan, Nepal","Tamotsu Ohnishi, Tazuko Inoue, Koji Mizutani, Takehiro Yanigahara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa"
309,NPHU,Narphu,,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",5921,Damodar,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,2014,Autumn,NPHU14301,"UK, Nepal","Brian Jackson, Heather Bentley, Catherine Husted, Dawn Richardson, James Salt, Rhiannon Thomson, Mingma Dorje Sherpa, Pasang Sherpa Shikhar Pandey"
316,NUPT,Nuptse,,Khumbu Himal (SW of Everest),7864,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1961,Spring,NUPT61101,"UK, Nepal","Dennis Davis, Tashi Sherpa"
321,OMIT,Omitso Go,Omi Tso Go,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6332,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
324,PAN1,Panpoche 1,"Pang Phunch 1, Kutang Himal",Manaslu Himal (NE of Sama village near Tibetan border),6620,Manaslu/Mansiri,Manaslu-Ganesh,True,False,False,Opened in 2003,Nepal only,Climbed,2019,Autumn,PAN119301,Georgia,"Archil Badriashvi, Bakari Gelashvili, Giorgi Tepnadze"
326,PANB,Panbari,,Peri Himal (NW of Larkya La),6905,Peri,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,2006,Autumn,PANB06301,Japan,"Yoshimi Kato, Gakuto Komiya, Sayaka Koyama, Kenro Nakajima, Yosuke Urabe"
327,PAND,Pandra,,Ohmi Kangri Himal (NW of Lhonak),6670,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal only,Climbed,2002,Autumn,PAND02301,Denmark,"Allan Christensen, Bo Belvedere Christensen, Jan Mathorne"
328,PANG,Pangbuk Ri,,Rolwaling Himal (N of Menlung La on Tibetan border),6625,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal & China,Climbed,2011,Autumn,PANG11301,USA,"David Gottlieb, Chad Kellogg"
329,PANN,Pangbuk North,Jobo LeCoultre,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),6478,Rolwaling,Khumbu-Rolwaling-Makalu,False,True,False,,Nepal & China,Climbed,2013,Autumn,PANN13301,USA,"Scott Adamson, Christopher Wright"
334,PATR,Patrasi Himal,Kande Hiunchuli North,Kanjiroba Himal (NE of Kande Huinchuli),6450,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
346,PHUG,Phu Kang Go,"Phu Khang Go, Athahra Saya Khola Himal",Peri Himal (SE of Cheo on Tibetan border),6767,Peri,Annapurna-Damodar-Peri,True,False,False,Opened in 2014,Nepal & China,Climbed,2011,Autumn,PHUG11301,"France, Belgium","Paulo Grobel, Benoit Van Lerberghe"
352,PK04,Peak 4,Shershon Ri,Khumbu Himal (SE of Baruntse),6736,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2003,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
354,PK41,Peak 41,"""True"" Mera Peak",Khumbu Himal (ESE of Ama Dablam),6648,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2002,Autumn,PK4102301,Slovenia,"Matic Jost, Urban Golob, Uros Samec"
359,POKR,Pokharkang,Pokhar Khang,Damodar Himal (N of Pisang Peak),6372,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,2002,Autumn,POKR02301,"UK, Nepal","Richard Scott, Dave Wynne-Jones, Kaji Sherpa"
363,PUMO,Pumori,,Khumbu Himal (WNW of Everest on Tibetan border),7138,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal & China,Climbed,1962,Spring,PUMO62101,"W Germany, Switzerland","Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel"
366,PUTH,Putha Hiunchuli,Dhaulagiri VII,Dhaulagiri Himal (W of Churen Himal),7246,Dhaulagiri,Dhaulagiri-Mukut,True,False,False,,Nepal only,Climbed,1954,Autumn,PUTH54301,"UK, Nepal","J. O. M. Roberts, Ang Nyima Sherpa"
368,RAKS,Raksha Urai,Raksha Urai III,Raksha Urai Himal (ESE of Nampa),6609,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,2003,Autumn,RAKS03301,"France, Nepal","Arnaud Clere, Catherine Couland, Gael Faroux, Keshab Raj Gurung"
373,RATC,Ratna Chuli,,Peri Himal (NW of Himlung on Tibetan border),7035,Peri,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal & China,Climbed,1996,Autumn,RATC96301,"Japan, Nepal","Osamu Tanabe, Santa Bahadur Ale, Katsuhiko Sawada, Durge Bahadur Tamang, Tul Bahadur Tamang"
375,RAUN,Raungsiyar,,Rolwaling Himal (N of Pimu),6224,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Climbed,2015,Autumn,RAUN15301,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa"
382,ROMA,Roma,,Saipal Himal (SW of Saipal),5407,Saipal,Kanjiroba-Far West,True,False,False,Delisted in 2014,Nepal only,Unclimbed,0,Unknown,,,Unclimbed?
383,SAIE,Saipal East Humla,,Saipal Himal (NE of Saipal),6925,Saipal,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1990,Autumn,SAIP90301,"Switzerland, Nepal","Jacques Montaz, Tendi Sherpa"
384,SAIP,Saipal,,Saipal Himal,7030,Saipal,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1963,Autumn,SAIP63301,"Japan, Nepal","Katsuotoshi Hirabayashi, Pasang Phutar Sherpa (I)"
386,SALW,Saldim West,"Peak 5, Saldim Ri, Yaphu Ri",Makalu Himal (ENE of Shershon village on Tibetan border),6388,Makalu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2003,Nepal & China,Climbed,2016,Autumn,SALW16301,Romania,"Vlad Capusan, Zolt Torok"
387,SAMD,Samdo,,Manaslu Himal (NNE of Panpoche 1 & 2 on Tibetan border),6335,Manaslu/Mansiri,Manaslu-Ganesh,True,False,False,Opened in 2003,Nepal & China,Climbed,2009,Autumn,SAMD09302,Japan,"Yasuke Kuramoto, Yoshitaka Kameoka, Kohei Kotani, Seiya Nakasukasa, Daisuke Nakatsuka, Hiroki Yamamoto"
398,SHEY,Shey Shikhar,Junction Peak,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),6139,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,2007,Summer,SHEY07201,Japan,Katsuhito Fujikawa
417,SYKG,Syaokang,,Ohmi Kangri Himal (SW of Ohmi Kangri near Tibetan border),5929,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,,Nepal only,Climbed,2012,Autumn,SYKG12301,New Zealand,"John Cocks, Martin Hunter, Geoffrey Lamarche, Paul Maxim, Nick Schearer"
424,TASH,Tashi Kang,Tashi Khang,Mukut Himal (N of Dhampus Peak),6386,Mukut/Mustang,Dhaulagiri-Mukut,True,False,False,Opened in 2002,Nepal only,Climbed,2002,Summer,TASH02201,"Japan, Nepal","Yasue Mogi, Gyalzen Sherpa"
425,TAWA,Tawa,,Damodar Himal (NNE of Yakawa Kang),6110,Damodar,Annapurna-Damodar-Peri,False,True,False,,Nepal only,Climbed,2010,Autumn,TAWA10301,"Japan, Nepal","Mikio Iga, Kazuya Fujikura, Chhongba Sherpa, Lhakpa Sherpa"
426,TAWO,Tawoche,Taboche,Khumbu Himal (NW of Ama Dablam),6495,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1974,Spring,TAWO74101,France,"Louis Dubost, Paul Gendre"
429,TENR,Tengi Ragi Tau,"Agole, Angole",Rolwaling Himal (N of Tesi Laptsa),6938,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2002,Winter,TENR02401,"Japan, Nepal","Koichi Ezaki, Ruchia Takahashi, Pasang Tamang, Tul Bahadur Tamang"
430,THAM,Thamserku,Tramserku,Khumbu Himal (SW of Ama Dablam),6618,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1964,Autumn,THAM64301,New Zealand,"Lynn Crawford, Peter Farrell, John McKinnon, Richard Stewart"
435,THUL,Thulagi,Mansiri Himal,Manaslu Himal (SW of Manaslu),7059,Manaslu/Mansiri,Manaslu-Ganesh,True,False,False,Opened in 2003,Nepal only,Climbed,2015,Autumn,THUL15301,Russia,"Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo"
436,TILI,Tilicho,Tilitso,Annapurna-Nilgiri Himal (N of Annapurna I),7134,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1978,Autumn,TILI78301,France,Emmanuel Schmutz
439,TKPO,Tengkangpoche,Thyangmoche,Rolwaling Himal (W of Kwangde),6482,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2001,Nepal only,Climbed,1984,Autumn,TKPO84301,"UK, USA","Trevor Pilling, Andy Zimet"
440,TKRE,Takargo East,"Thakar Go East, Dragker-go East",Rolwaling Himal (ESE of Takargo),6152,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2014,Nepal only,Climbed,2015,Autumn,TKRE15301,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa"
441,TKRG,Takargo,Dragker-go,Rolwaling Himal (E of Chobutse),6771,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2003,Nepal only,Climbed,2010,Spring,TKRG10101,USA,"David Gottlieb, Joseph Puryear"
442,TLNG,Talung,,Simhalila Himal (S of Kangchenjunga on Indian border),7349,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2002,Nepal & India,Climbed,1964,Spring,TLNG64101,"W Germany, Nepal","Franz Lindner, Tenzing Nanda Sherpa"
